,,,,,,,,,,
,,,,,,,,,,
,,Component,,Specification,,Link,,,Quantity,Cost
,,ESP32 module,,ESP32-WROOM-32,,https://roboticsdna.in/product/esp-wroom-32-wifi-bluetooth-networking-smart-component-development-board-30-pins-2/?src=google&kwd=&adgroup={adgroup}&device=c&campaign={campaign}&adgroup={adgroup}&keyword=&matchtype=&gad_source=1&gad_campaignid=22411741198&gbraid=0AAAAAC-xzeHyrlAQbil21qo1tmhzrbtL-&gclid=CjwKCAjwqJXUBhBNEiwA8BgG7uB3MCFNB-TFA4cWtQ7s1sds9dm-BeKHtXIJ9tpDKDvItv8j3zBDEBoCLNMQAvD_BwE,,,1,~$4.45
,,USB-to-UART IC,,CP2102N,,https://zbotic.in/product/cp2102-usb-2-0-to-ttl-uart-serial-convertor-module/?gad_source=1&gad_campaignid=20903026778&gbraid=0AAAAACTNRdW9Q9AQt1A5V5nIykQt39odR&gclid=CjwKCAjwqJXUBhBNEiwA8BgG7sJVsLAVaj1tnPRlEGIbiw3mxkzatHMwf0NiPFPek029ynbvjhGrPhoC3XUQAvD_BwE,,,1,~$1.45
,,USB-C connector,,Amphenol 12401548E4-2A,,Pre-Owned,,,1,--/--
,,NPN transistor,,SS8050 transistor,,Pre-Owned,,,2,--/--
,,Resistors,,5.1 kΩ resistor,,Pre-Owned,,,2,--/--
,,Tactile push button,,TL3342,,https://www.digikey.in/en/products/detail/e-switch/TL3342F260QG/4029402,,,2,~$0.30
,,Resistors,,10 kΩ resistor,,Pre-Owned,,,4,--/--
,,Ceramic capacitor,,100 nF,,Pre-Owned,,,3,--/--
,,Ceramic capacitor,,4.7 µF,,Pre-Owned,,,2,--/--
,,Ceramic capacitor,,10 µF,,Pre-Owned,,,1,--/--
,,Speaker,,4R 3W 40mm Mini Power Amplifier Speaker,,https://www.flyrobo.in/4r-3w-40mm-mini-power-amplifier-speaker?tracking=ads&utm_source=chatgpt.com,,,1,~$2.35
,,TOTAL COST,,,,,,,,~$8.55
